timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue,Model,Sample
2026-01-07T07:08:19,codecarbon,73bf8c13-d8a8-41b0-9212-604b6951ecfe,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3727.286928522401,0.0088439622026361,2.372761306611329e-06,88.03686058692217,0.0,70.0,0.0879409286706679,0.0,0.0698770588493828,0.157817987520051,0.0,France,FRA,,,,Linux-5.14.0-570.52.1.el9_6.x86_64-x86_64-with-glibc2.35,3.11.13,3.2.0,32,AMD EPYC 7262 8-Core Processor,1,1 x NVIDIA A100-PCIE-40GB,,,250.86071395874023,machine,N,1.0,0.0,efficientnet_b0,train
2026-01-07T07:08:22,codecarbon,e190205d-47de-4919-ae33-902664c96379,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.3321180203929543,4.00522490381396e-06,1.7174194739677422e-06,70.77002905300002,0.0,70.0,3.593769435750491e-05,0.0,3.553440371373048e-05,7.147209807123539e-05,0.0,France,FRA,,,,Linux-5.14.0-570.52.1.el9_6.x86_64-x86_64-with-glibc2.35,3.11.13,3.2.0,32,AMD EPYC 7262 8-Core Processor,1,1 x NVIDIA A100-PCIE-40GB,,,250.86071395874023,machine,N,1.0,0.0,efficientnet_b0,test
2026-01-07T08:04:38,codecarbon,21f0da0f-8976-47e6-a57e-f25cb3037d66,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2900.215056858025,0.0070175744034667,2.41967380552438e-06,91.17808243575728,0.0,70.0,0.0708565268298621,0.0,0.0543700904093242,0.1252266172391863,0.0,France,FRA,,,,Linux-5.14.0-570.52.1.el9_6.x86_64-x86_64-with-glibc2.35,3.11.13,3.2.0,32,AMD EPYC 7262 8-Core Processor,1,1 x NVIDIA A100-PCIE-40GB,,,250.86071395874023,machine,N,1.0,0.0,shufflenet_v2_x0_5,train
2026-01-07T08:04:42,codecarbon,fcbdbcfd-b58a-4bbd-a5d2-a279cf732caf,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.127378785051405,3.686208374567867e-06,1.7327466083943271e-06,76.08591802750001,0.0,70.0,3.426569481374099e-05,0.0,3.151364412106988e-05,6.577933893481088e-05,0.0,France,FRA,,,,Linux-5.14.0-570.52.1.el9_6.x86_64-x86_64-with-glibc2.35,3.11.13,3.2.0,32,AMD EPYC 7262 8-Core Processor,1,1 x NVIDIA A100-PCIE-40GB,,,250.86071395874023,machine,N,1.0,0.0,shufflenet_v2_x0_5,test
2026-01-08T21:04:31,codecarbon,f576ad43-dbd0-4fd5-b088-771f91cd6bfe,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1726.3454445432872,0.0045661107484798,2.6449577417501637e-06,106.2499044477325,0.0,70.0,0.0491329143952694,0.0,0.0323480318828563,0.0814809462781258,0.0,France,FRA,,,,Linux-5.14.0-570.52.1.el9_6.x86_64-x86_64-with-glibc2.35,3.11.13,3.2.0,32,AMD EPYC 7262 8-Core Processor,1,1 x NVIDIA A100-PCIE-40GB,,,250.86071395874023,machine,N,1.0,0.0,resnet18,train
2026-01-08T21:04:35,codecarbon,d6d58113-76dd-4642-b4be-ee8585913e3c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9313445454463365,3.1003568981224595e-06,1.6052842075394491e-06,69.554567227,0.0,70.0,2.757996247730754e-05,0.0,2.774502365953393e-05,5.532498613684147e-05,0.0,France,FRA,,,,Linux-5.14.0-570.52.1.el9_6.x86_64-x86_64-with-glibc2.35,3.11.13,3.2.0,32,AMD EPYC 7262 8-Core Processor,1,1 x NVIDIA A100-PCIE-40GB,,,250.86071395874023,machine,N,1.0,0.0,resnet18,test
2026-01-08T07:19:25,codecarbon,bf11c5e9-f1d4-4773-9735-405c3c217683,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2912.3402071027085,0.0071142861469359,2.442807378610982e-06,92.70821820790702,0.0,70.0,0.07235401602175,0.0,0.0545983947446078,0.1269524107663579,0.0,France,FRA,,,,Linux-5.14.0-570.52.1.el9_6.x86_64-x86_64-with-glibc2.35,3.11.13,3.2.0,32,AMD EPYC 7262 8-Core Processor,1,1 x NVIDIA A100-PCIE-40GB,,,250.86071395874023,machine,N,1.0,0.0,resnet50,train
2026-01-08T07:19:28,codecarbon,23db708b-0153-49b9-ae5a-1a8c9ee58459,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.358533021993935,4.0729683198383786e-06,1.7269074809879224e-06,71.09764438450003,0.0,70.0,3.6628995965941605e-05,0.0,3.6051964076856776e-05,7.268096004279838e-05,0.0,France,FRA,,,,Linux-5.14.0-570.52.1.el9_6.x86_64-x86_64-with-glibc2.35,3.11.13,3.2.0,32,AMD EPYC 7262 8-Core Processor,1,1 x NVIDIA A100-PCIE-40GB,,,250.86071395874023,machine,N,1.0,0.0,resnet50,test
2026-01-08T11:45:19,codecarbon,e1be66ba-9d7d-468f-b7d5-be2feda02446,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3463.50162013527,0.008469388695179,2.4453254607827416e-06,92.92064158465084,0.0,70.0,0.0862279547906498,0.0,0.0649058751345637,0.1511338299252136,0.0,France,FRA,,,,Linux-5.14.0-570.52.1.el9_6.x86_64-x86_64-with-glibc2.35,3.11.13,3.2.0,32,AMD EPYC 7262 8-Core Processor,1,1 x NVIDIA A100-PCIE-40GB,,,250.86071395874023,machine,N,1.0,0.0,efficientnet_b0,train
2026-01-08T11:45:23,codecarbon,67d6b754-526b-4c0c-8c31-3905307f7b5a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.0899642696604133,3.418850264720279e-06,1.6358414899005852e-06,68.61553455550002,0.0,70.0,3.0203659240766803e-05,0.0,3.080475034399165e-05,6.100840958475845e-05,0.0,France,FRA,,,,Linux-5.14.0-570.52.1.el9_6.x86_64-x86_64-with-glibc2.35,3.11.13,3.2.0,32,AMD EPYC 7262 8-Core Processor,1,1 x NVIDIA A100-PCIE-40GB,,,250.86071395874023,machine,N,1.0,0.0,efficientnet_b0,test
