Energy train,Energy test,Accuracy,Model,Pretrained,Score,Defuzzification_Mode
116262.02448063972,193.54243221879025,0.01,squeezenet1_0,False,25.568422026998547,centroid
116262.02448063972,193.54243221879025,0.01,squeezenet1_0,False,25.186252564779746,bisector
116262.02448063972,193.54243221879025,0.01,squeezenet1_0,False,25.0,mom
116262.02448063972,193.54243221879025,0.01,squeezenet1_0,False,23.0,som
116262.02448063972,193.54243221879025,0.01,squeezenet1_0,False,27.0,lom
512681.753809044,253.54198297073458,0.01,vgg16,False,17.066081941296524,centroid
512681.753809044,253.54198297073458,0.01,vgg16,False,11.60468106384278,bisector
512681.753809044,253.54198297073458,0.01,vgg16,False,2.0,mom
512681.753809044,253.54198297073458,0.01,vgg16,False,0.0,som
512681.753809044,253.54198297073458,0.01,vgg16,False,4.0,lom
509897.7751402631,299.71303531547335,0.01,vgg16,False,17.200777456019882,centroid
509897.7751402631,299.71303531547335,0.01,vgg16,False,11.741994705249876,bisector
509897.7751402631,299.71303531547335,0.01,vgg16,False,2.0,mom
509897.7751402631,299.71303531547335,0.01,vgg16,False,0.0,som
509897.7751402631,299.71303531547335,0.01,vgg16,False,4.0,lom
297097.8509744971,177.79927179867957,0.01,squeezenet1_0,False,23.57744260851172,centroid
297097.8509744971,177.79927179867957,0.01,squeezenet1_0,False,23.302127440950514,bisector
297097.8509744971,177.79927179867957,0.01,squeezenet1_0,False,25.0,mom
297097.8509744971,177.79927179867957,0.01,squeezenet1_0,False,15.0,som
297097.8509744971,177.79927179867957,0.01,squeezenet1_0,False,35.0,lom
568144.7550721836,257.2995530564474,0.2889,efficientnet_b0,False,25.94735865514588,centroid
568144.7550721836,257.2995530564474,0.2889,efficientnet_b0,False,24.758769083534975,bisector
568144.7550721836,257.2995530564474,0.2889,efficientnet_b0,False,25.0,mom
568144.7550721836,257.2995530564474,0.2889,efficientnet_b0,False,15.0,som
568144.7550721836,257.2995530564474,0.2889,efficientnet_b0,False,35.0,lom
450815.82206107065,236.80562016531914,0.341,shufflenet_v2_x0_5,False,31.960980510359985,centroid
450815.82206107065,236.80562016531914,0.341,shufflenet_v2_x0_5,False,29.33863315988057,bisector
450815.82206107065,236.80562016531914,0.341,shufflenet_v2_x0_5,False,25.0,mom
450815.82206107065,236.80562016531914,0.341,shufflenet_v2_x0_5,False,18.0,som
450815.82206107065,236.80562016531914,0.341,shufflenet_v2_x0_5,False,32.0,lom
293331.40660125285,199.1699500926293,0.4084,resnet18,False,38.36429567879729,centroid
293331.40660125285,199.1699500926293,0.4084,resnet18,False,40.120812506376005,bisector
293331.40660125285,199.1699500926293,0.4084,resnet18,False,50.0,mom
293331.40660125285,199.1699500926293,0.4084,resnet18,False,40.0,som
293331.40660125285,199.1699500926293,0.4084,resnet18,False,60.0,lom
544081.7877307689,219.63027450513044,0.301,efficientnet_b0,False,27.532388116198867,centroid
544081.7877307689,219.63027450513044,0.301,efficientnet_b0,False,25.868486960770657,bisector
544081.7877307689,219.63027450513044,0.301,efficientnet_b0,False,25.0,mom
544081.7877307689,219.63027450513044,0.301,efficientnet_b0,False,16.0,som
544081.7877307689,219.63027450513044,0.301,efficientnet_b0,False,34.0,lom
566457.1558779575,257.20758317395365,0.3009,efficientnet_b0,False,26.239556136067694,centroid
566457.1558779575,257.20758317395365,0.3009,efficientnet_b0,False,25.038749175899323,bisector
566457.1558779575,257.20758317395365,0.3009,efficientnet_b0,False,25.0,mom
566457.1558779575,257.20758317395365,0.3009,efficientnet_b0,False,16.0,som
566457.1558779575,257.20758317395365,0.3009,efficientnet_b0,False,34.0,lom
374720.95278652356,219.6177908043031,0.3584,mobilenet_v2,False,34.90075619131319,centroid
374720.95278652356,219.6177908043031,0.3584,mobilenet_v2,False,33.29222225828137,bisector
374720.95278652356,219.6177908043031,0.3584,mobilenet_v2,False,25.0,mom
374720.95278652356,219.6177908043031,0.3584,mobilenet_v2,False,15.0,som
374720.95278652356,219.6177908043031,0.3584,mobilenet_v2,False,35.0,lom
445170.96985844517,211.64768288159158,0.3542,mobilenet_v2,False,32.25595290012876,centroid
445170.96985844517,211.64768288159158,0.3542,mobilenet_v2,False,29.531204764802574,bisector
445170.96985844517,211.64768288159158,0.3542,mobilenet_v2,False,25.0,mom
445170.96985844517,211.64768288159158,0.3542,mobilenet_v2,False,18.0,som
445170.96985844517,211.64768288159158,0.3542,mobilenet_v2,False,32.0,lom
514066.62009138986,216.38435828478237,0.01,vgg16,False,16.99847764300061,centroid
514066.62009138986,216.38435828478237,0.01,vgg16,False,11.536897169646299,bisector
514066.62009138986,216.38435828478237,0.01,vgg16,False,2.0,mom
514066.62009138986,216.38435828478237,0.01,vgg16,False,0.0,som
514066.62009138986,216.38435828478237,0.01,vgg16,False,4.0,lom
311620.5152260491,205.48119793594762,0.4066,resnet18,False,37.69981243880396,centroid
311620.5152260491,205.48119793594762,0.4066,resnet18,False,38.742131795494046,bisector
311620.5152260491,205.48119793594762,0.4066,resnet18,False,50.0,mom
311620.5152260491,205.48119793594762,0.4066,resnet18,False,39.0,som
311620.5152260491,205.48119793594762,0.4066,resnet18,False,61.0,lom
470298.9979545437,248.38325140746417,0.3573,shufflenet_v2_x0_5,False,31.393336582615472,centroid
470298.9979545437,248.38325140746417,0.3573,shufflenet_v2_x0_5,False,28.70428310259258,bisector
470298.9979545437,248.38325140746417,0.3573,shufflenet_v2_x0_5,False,25.0,mom
470298.9979545437,248.38325140746417,0.3573,shufflenet_v2_x0_5,False,18.0,som
470298.9979545437,248.38325140746417,0.3573,shufflenet_v2_x0_5,False,32.0,lom
428270.97566912865,197.4379006539242,0.3616,mobilenet_v2,False,33.000147154973426,centroid
428270.97566912865,197.4379006539242,0.3616,mobilenet_v2,False,30.37427296266246,bisector
428270.97566912865,197.4379006539242,0.3616,mobilenet_v2,False,25.0,mom
428270.97566912865,197.4379006539242,0.3616,mobilenet_v2,False,17.0,som
428270.97566912865,197.4379006539242,0.3616,mobilenet_v2,False,33.0,lom
431520.08385395125,222.4733523796108,0.3677,mobilenet_v2,False,32.953245833945715,centroid
431520.08385395125,222.4733523796108,0.3677,mobilenet_v2,False,30.280107639723862,bisector
431520.08385395125,222.4733523796108,0.3677,mobilenet_v2,False,25.0,mom
431520.08385395125,222.4733523796108,0.3677,mobilenet_v2,False,17.0,som
431520.08385395125,222.4733523796108,0.3677,mobilenet_v2,False,33.0,lom
305372.64883112244,202.24190411351563,0.4043,resnet18,False,37.8967107025503,centroid
305372.64883112244,202.24190411351563,0.4043,resnet18,False,39.2082270294063,bisector
305372.64883112244,202.24190411351563,0.4043,resnet18,False,50.0,mom
305372.64883112244,202.24190411351563,0.4043,resnet18,False,39.0,som
305372.64883112244,202.24190411351563,0.4043,resnet18,False,61.0,lom
308077.0648652243,240.86394183774183,0.3986,resnet18,False,37.741025336093635,centroid
308077.0648652243,240.86394183774183,0.3986,resnet18,False,38.950989614652485,bisector
308077.0648652243,240.86394183774183,0.3986,resnet18,False,50.0,mom
308077.0648652243,240.86394183774183,0.3986,resnet18,False,39.0,som
308077.0648652243,240.86394183774183,0.3986,resnet18,False,61.0,lom
315309.5693662219,207.4608012013944,0.3968,resnet18,False,37.4652953347449,centroid
315309.5693662219,207.4608012013944,0.3968,resnet18,False,38.35477148987848,bisector
315309.5693662219,207.4608012013944,0.3968,resnet18,False,50.0,mom
315309.5693662219,207.4608012013944,0.3968,resnet18,False,39.0,som
315309.5693662219,207.4608012013944,0.3968,resnet18,False,61.0,lom
299245.1352345626,193.100979241506,0.01,squeezenet1_0,False,23.53885934084868,centroid
299245.1352345626,193.100979241506,0.01,squeezenet1_0,False,23.252178977268,bisector
299245.1352345626,193.100979241506,0.01,squeezenet1_0,False,25.0,mom
299245.1352345626,193.100979241506,0.01,squeezenet1_0,False,14.0,som
299245.1352345626,193.100979241506,0.01,squeezenet1_0,False,36.0,lom
505967.04797921027,257.9695841882318,0.314,efficientnet_b0,False,29.57225560188793,centroid
505967.04797921027,257.9695841882318,0.314,efficientnet_b0,False,27.381509645707368,bisector
505967.04797921027,257.9695841882318,0.314,efficientnet_b0,False,25.0,mom
505967.04797921027,257.9695841882318,0.314,efficientnet_b0,False,16.0,som
505967.04797921027,257.9695841882318,0.314,efficientnet_b0,False,34.0,lom
301751.80610829697,175.3337632750397,0.01,squeezenet1_0,False,23.49259609983852,centroid
301751.80610829697,175.3337632750397,0.01,squeezenet1_0,False,23.191599834684123,bisector
301751.80610829697,175.3337632750397,0.01,squeezenet1_0,False,25.0,mom
301751.80610829697,175.3337632750397,0.01,squeezenet1_0,False,14.0,som
301751.80610829697,175.3337632750397,0.01,squeezenet1_0,False,36.0,lom
430302.6439738758,248.02288675966267,0.3573,mobilenet_v2,False,32.866876770075535,centroid
430302.6439738758,248.02288675966267,0.3573,mobilenet_v2,False,30.23320027387751,bisector
430302.6439738758,248.02288675966267,0.3573,mobilenet_v2,False,25.0,mom
430302.6439738758,248.02288675966267,0.3573,mobilenet_v2,False,17.0,som
430302.6439738758,248.02288675966267,0.3573,mobilenet_v2,False,33.0,lom
298286.6308589225,190.48883321408744,0.01,squeezenet1_0,False,23.556495078269975,centroid
298286.6308589225,190.48883321408744,0.01,squeezenet1_0,False,23.275087450304166,bisector
298286.6308589225,190.48883321408744,0.01,squeezenet1_0,False,25.0,mom
298286.6308589225,190.48883321408744,0.01,squeezenet1_0,False,14.0,som
298286.6308589225,190.48883321408744,0.01,squeezenet1_0,False,36.0,lom
454705.4278845572,218.19343052680907,0.364,mobilenet_v2,False,32.012960836127384,centroid
454705.4278845572,218.19343052680907,0.364,mobilenet_v2,False,29.225551685995264,bisector
454705.4278845572,218.19343052680907,0.364,mobilenet_v2,False,25.0,mom
454705.4278845572,218.19343052680907,0.364,mobilenet_v2,False,18.0,som
454705.4278845572,218.19343052680907,0.364,mobilenet_v2,False,32.0,lom
493901.78530036245,248.73597983399705,0.3586,shufflenet_v2_x0_5,False,30.493554535676115,centroid
493901.78530036245,248.73597983399705,0.3586,shufflenet_v2_x0_5,False,27.971168288008197,bisector
493901.78530036245,248.73597983399705,0.3586,shufflenet_v2_x0_5,False,25.0,mom
493901.78530036245,248.73597983399705,0.3586,shufflenet_v2_x0_5,False,18.0,som
493901.78530036245,248.73597983399705,0.3586,shufflenet_v2_x0_5,False,32.0,lom
536560.3481626462,279.6951521767712,0.3207,efficientnet_b0,False,28.173738505023604,centroid
